epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7911,1.09992,2.59561,1.59768,0.00333,1,0.12685,0.04794,0.69712,3.21282,1.45451,0,0,0
2,56.9042,1.06963,2.61546,1.59968,0.00333,1,0.17113,0.06625,0.68174,3.20646,1.4222,1.9604e-05,1.9604e-05,1.9604e-05
3,78.0436,0.97522,2.51448,1.5326,0.00333,1,0.24241,0.11708,0.65077,3.20924,1.38059,3.8416e-05,3.8416e-05,3.8416e-05
4,96.5515,1.07039,2.56209,1.65411,0.00333,1,0.37334,0.22837,0.59039,3.20113,1.3146,5.6436e-05,5.6436e-05,5.6436e-05
5,110.738,0.84658,2.46238,1.42116,0.00333,1,0.59207,0.40917,0.56256,3.20846,1.2665,7.3664e-05,7.3664e-05,7.3664e-05
6,130.012,0.86792,2.29963,1.48341,0.00333,1,0.80123,0.58647,0.57262,3.18748,1.28022,9.01e-05,9.01e-05,9.01e-05
7,146.911,0.82263,2.20071,1.43883,0.00333,1,0.94331,0.72177,0.60087,3.17883,1.27241,0.000105744,0.000105744,0.000105744
8,160.013,0.85642,2.02793,1.42927,0.00333,1,0.94911,0.72298,0.61896,3.15369,1.28763,0.000120596,0.000120596,0.000120596
9,171.342,0.71882,1.91482,1.3103,0.00333,1,0.94474,0.71278,0.59917,3.122,1.28552,0.000134656,0.000134656,0.000134656
10,182.283,0.99384,1.89832,1.56891,0.00333,1,0.93368,0.71482,0.60619,3.0897,1.29103,0.000147924,0.000147924,0.000147924
11,196.348,0.87668,1.57748,1.39181,0.00333,1,0.93109,0.71374,0.60477,3.03918,1.29184,0.0001604,0.0001604,0.0001604
12,213.579,0.88491,1.4069,1.391,0.00333,1,0.91695,0.73788,0.59547,2.99161,1.29718,0.000172084,0.000172084,0.000172084
13,230.532,0.77068,1.37791,1.38645,0.00333,1,0.92597,0.75404,0.60593,2.90162,1.32402,0.000182976,0.000182976,0.000182976
14,248.757,0.83376,1.32475,1.34277,0.00333,1,0.94016,0.74445,0.64127,2.85951,1.37619,0.000193076,0.000193076,0.000193076
15,265.546,0.84222,1.53417,1.3949,0.00333,1,0.91896,0.70669,0.72393,2.94256,1.43407,0.000202384,0.000202384,0.000202384
16,278.664,0.56569,1.22956,1.19953,0.00333,1,0.90913,0.66735,0.79713,3.0336,1.47121,0.0002109,0.0002109,0.0002109
17,297.076,0.63263,1.22465,1.31286,0.00333,1,0.90744,0.60929,0.85475,3.11536,1.52617,0.000218624,0.000218624,0.000218624
18,307.622,0.74015,1.22531,1.37856,0.00333,1,0.90744,0.60929,0.85475,3.11536,1.52617,0.000225556,0.000225556,0.000225556
19,317.836,0.52355,1.01231,1.12917,0.00333,1,0.94557,0.69084,0.70587,3.05394,1.415,0.000231696,0.000231696,0.000231696
20,327.554,0.75204,1.25624,1.3734,0.00333,1,0.94557,0.69084,0.70587,3.05394,1.415,0.000237044,0.000237044,0.000237044
21,337.533,0.76938,1.27156,1.35868,0.03676,1,0.995,0.76432,0.61262,2.90313,1.29018,0.0002416,0.0002416,0.0002416
22,347.863,0.5958,1.06589,1.27036,0.03676,1,0.995,0.76432,0.61262,2.90313,1.29018,0.000245364,0.000245364,0.000245364
23,358.044,0.70113,1.04624,1.29057,1,0.88914,0.995,0.83673,0.53767,2.81202,1.20134,0.000248336,0.000248336,0.000248336
24,368.099,0.71485,1.11903,1.31434,1,0.88914,0.995,0.83673,0.53767,2.81202,1.20134,0.000250516,0.000250516,0.000250516
25,377.902,0.65657,1.10205,1.27581,1,0.58949,0.995,0.80757,0.56977,2.71481,1.17288,0.000251904,0.000251904,0.000251904
26,387.554,0.75443,1.2822,1.37706,1,0.58949,0.995,0.80757,0.56977,2.71481,1.17288,0.0002525,0.0002525,0.0002525
27,397.523,0.55359,1.01962,1.17825,1,0.86763,0.995,0.84147,0.56324,2.57468,1.14124,0.000252304,0.000252304,0.000252304
28,407.284,0.52833,0.96771,1.17268,1,0.86763,0.995,0.84147,0.56324,2.57468,1.14124,0.000251316,0.000251316,0.000251316
29,417.724,0.58591,1.09042,1.21922,1,0.91661,0.995,0.8846,0.53875,2.44603,1.1055,0.000249536,0.000249536,0.000249536
30,427.518,0.64363,1.14882,1.23109,1,0.91661,0.995,0.8846,0.53875,2.44603,1.1055,0.000246964,0.000246964,0.000246964
31,437.307,0.57967,1.00842,1.18866,1,0.98322,0.995,0.88391,0.50574,2.41737,1.07679,0.0002436,0.0002436,0.0002436
32,447.074,0.68991,1.15835,1.29104,1,0.98322,0.995,0.88391,0.50574,2.41737,1.07679,0.000239444,0.000239444,0.000239444
33,456.838,0.6249,1.0378,1.25028,1,0.83251,0.995,0.88234,0.49097,2.49742,1.08798,0.000234496,0.000234496,0.000234496
34,466.766,0.45017,0.99196,1.10428,1,0.83251,0.995,0.88234,0.49097,2.49742,1.08798,0.000228756,0.000228756,0.000228756
35,476.43,0.6238,0.97516,1.26189,1,0.83141,0.995,0.87219,0.52665,2.51904,1.13515,0.000222224,0.000222224,0.000222224
36,486.668,0.56495,0.96682,1.17915,1,0.83141,0.995,0.87219,0.52665,2.51904,1.13515,0.0002149,0.0002149,0.0002149
37,496.854,0.53452,0.93064,1.09652,1,0.84866,0.995,0.85036,0.56484,2.50299,1.18623,0.000206784,0.000206784,0.000206784
38,506.68,0.57117,1.02577,1.22425,1,0.84866,0.995,0.85036,0.56484,2.50299,1.18623,0.000197876,0.000197876,0.000197876
39,516.536,0.61927,1.05661,1.21827,1,0.92925,0.995,0.85361,0.57509,2.46666,1.19243,0.000188176,0.000188176,0.000188176
40,526.213,0.62343,0.96592,1.2487,1,0.92925,0.995,0.85361,0.57509,2.46666,1.19243,0.000177684,0.000177684,0.000177684
41,536.601,0.60439,1.82569,1.27462,0.98159,1,0.995,0.86845,0.54441,2.35321,1.14882,0.0001664,0.0001664,0.0001664
42,546.516,0.41347,1.59186,1.11844,0.98159,1,0.995,0.86845,0.54441,2.35321,1.14882,0.000154324,0.000154324,0.000154324
43,556.999,0.75417,2.0087,1.50503,0.974,1,0.995,0.90055,0.5142,2.27854,1.10075,0.000141456,0.000141456,0.000141456
44,566.813,0.52118,1.56211,1.28301,0.974,1,0.995,0.90055,0.5142,2.27854,1.10075,0.000127796,0.000127796,0.000127796
45,576.501,0.4854,1.69999,1.16889,0.98332,1,0.995,0.88293,0.57685,2.22378,1.14279,0.000113344,0.000113344,0.000113344
46,586.563,0.35757,1.51712,1.11041,0.98332,1,0.995,0.88293,0.57685,2.22378,1.14279,9.81e-05,9.81e-05,9.81e-05
47,599.936,0.39983,1.51145,1.15694,0.98571,1,0.995,0.85498,0.6589,2.24164,1.23279,8.2064e-05,8.2064e-05,8.2064e-05
48,610.892,0.35882,1.4001,1.04101,0.98571,1,0.995,0.85498,0.6589,2.24164,1.23279,6.5236e-05,6.5236e-05,6.5236e-05
49,621.631,0.49007,1.56822,1.2655,0.98884,1,0.995,0.83732,0.6981,2.25927,1.28124,4.7616e-05,4.7616e-05,4.7616e-05
50,632.747,0.35557,1.34534,1.11703,0.98884,1,0.995,0.83732,0.6981,2.25927,1.28124,2.9204e-05,2.9204e-05,2.9204e-05
